Substationcode,Circlecode,Transformervolt rated,Maxvolt actual,Minvolt actual,Max volt permissible,Min volt permissible,Deviation max volt,Deviation min volt,Status max volt,Status min volt
1010001,101,110,110,95,121,99,11,4,1,0
1010002,101,110,116,103,121,99,5,-4,1,1
1010003,101,110,109,91.2,121,99,12,7.8,1,0
1010004,101,110,109,91.2,121,99,12,7.8,1,0
1020001,102,22,24.5,19.5,24.2,19.8,-0.3,0.3,0,0
1020002,102,11,12.8,10,12.1,9.9,-0.7,-0.1,0,1
1020003,102,11,11.4,10.4,12.1,9.9,0.7,-0.5,1,1
1020004,102,33,37,28,36.3,29.7,-0.7,1.7,0,0
1020005,102,22,23,20,24.2,19.8,1.2,-0.2,1,1
1020006,102,22,24.2,18.9,24.2,19.8,0,0.9,0,0
1020007,102,11,11.8,9.4,12.1,9.9,0.3,0.5,1,0
1020008,102,11,11.6,10.6,12.1,9.9,0.5,-0.7,1,1
1020009,102,11,11.7,10.4,12.1,9.9,0.4,-0.5,1,1
1020010,102,22,25,18,24.2,19.8,-0.8,1.8,0,0
1020011,102,22,22.5,21,24.2,19.8,1.7,-1.2,1,1
1020012,102,110,119,93,121,99,2,6,1,0
1020013,102,11,12,10.25,12.1,9.9,0.1,-0.35,1,1
3050003,102,11,11.2,10.4,12.1,9.9,0.9,-0.5,1,1
4020005,102,11,11.5,10.3,12.1,9.9,0.6,-0.4,1,1
1030001,103,110,113,91,121,99,8,8,1,0
1030002,103,22,22,20,24.2,19.8,2.2,-0.2,1,1
1030003,103,22,23.5,21,24.2,19.8,0.7,-1.2,1,1
1030004,103,110,116,108,121,99,5,-9,1,1
1030005,103,110,112,102,121,99,9,-3,1,1
1030006,103,33,34.8,30.6,36.3,29.7,1.5,-0.9,1,1
1030007,103,33,34.5,31.8,36.3,29.7,1.8,-2.1,1,1
1030008,103,11,11.6,10.3,12.1,9.9,0.5,-0.4,1,1
1030009,103,33,35,30,36.3,29.7,1.3,-0.3,1,1
1030010,103,110,112,108,121,99,9,-9,1,1
1030011,103,110,108,93,121,99,13,6,1,0
1030012,103,110,116,106,121,99,5,-7,1,1
1030013,103,11,11.5,10.8,12.1,9.9,0.6,-0.9,1,1
1030014,103,110,114,104,121,99,7,-5,1,1
1030015,103,11,11.4,10.6,12.1,9.9,0.7,-0.7,1,1
1030016,103,11,11,10.8,12.1,9.9,1.1,-0.9,1,1
1040001,104,110,114,102,121,99,7,-3,1,1
1040002,104,110,120.2,106.8,121,99,0.8,-7.8,1,1
1040003,104,11,11.6,0.97,12.1,9.9,0.5,8.93,1,0
1040004,104,11,11.8,10.2,12.1,9.9,0.3,-0.3,1,1
1040005,104,110,120.2,106.2,121,99,0.8,-7.2,1,1
1040006,104,11,12.2,10.8,12.1,9.9,-0.1,-0.9,0,1
1040007,104,11,11.6,10.5,12.1,9.9,0.5,-0.6,1,1
1040008,104,11,11.5,10.7,12.1,9.9,0.6,-0.8,1,1
1050001,105,22,22,22,24.2,19.8,2.2,-2.2,1,1
1050002,105,110,22.5,21.5,121,99,98.5,77.5,1,0
1050003,105,22,22,22,24.2,19.8,2.2,-2.2,1,1
1050004,105,22,22.5,22,24.2,19.8,1.7,-2.2,1,1
1050005,105,22,22.6,19.5,24.2,19.8,1.6,0.3,1,0
1050006,105,22,23,20.66,24.2,19.8,1.2,-0.86,1,1
1050007,105,22,24,21,24.2,19.8,0.2,-1.2,1,1
1050008,105,22,24,22.5,24.2,19.8,0.2,-2.7,1,1
1050009,105,22,22,21,24.2,19.8,2.2,-1.2,1,1
1050010,105,22,22.9,22.6,24.2,19.8,1.3,-2.8,1,1
1050011,105,22,23.8,19.6,24.2,19.8,0.4,0.2,1,0
1050012,105,22,22,19,24.2,19.8,2.2,0.8,1,0
1050013,105,22,22.8,20.5,24.2,19.8,1.4,-0.7,1,1
1050014,105,22,22.5,19,24.2,19.8,1.7,0.8,1,0
2010001,201,33,33.5,31.5,36.3,29.7,2.8,-1.8,1,1
2010002,201,33,34,32,36.3,29.7,2.3,-2.3,1,1
2010003,201,11,11.6,9.5,12.1,9.9,0.5,0.4,1,0
2010004,201,33,33,32,36.3,29.7,3.3,-2.3,1,1
2010005,201,11,11,10,12.1,9.9,1.1,-0.1,1,1
2010006,201,11,12,10.8,12.1,9.9,0.1,-0.9,1,1
2010007,201,11,11.3,10.9,12.1,9.9,0.8,-1,1,1
2010008,201,11,11.4,10.2,12.1,9.9,0.7,-0.3,1,1
2010009,201,11,11,10.5,12.1,9.9,1.1,-0.6,1,1
2010010,201,11,11.2,10.8,12.1,9.9,0.9,-0.9,1,1
2010011,201,11,11,10.5,12.1,9.9,1.1,-0.6,1,1
2010012,201,11,11.8,9.2,12.1,9.9,0.3,0.7,1,0
2010013,201,11,11.3,9,12.1,9.9,0.8,0.9,1,0
2010014,201,11,12.6,10.2,12.1,9.9,-0.5,-0.3,0,1
2010015,201,11,11,10.2,12.1,9.9,1.1,-0.3,1,1
2010016,201,11,11,9,12.1,9.9,1.1,0.9,1,0
2010017,201,11,11,10,12.1,9.9,12.1,9.9,1,0
2010018,201,11,11.8,9.8,12.1,9.9,0.3,0.1,1,0
2010019,201,11,12.2,10.4,12.1,9.9,-0.1,-0.5,0,1
2010020,201,11,11,9,12.1,9.9,1.1,0.9,1,0
2010021,201,11,12.4,8.2,12.1,9.9,-0.3,1.7,0,0
2010022,201,11,11.2,10.8,12.1,9.9,0.9,-0.9,1,1
2020001,202,33,33,29,36.3,29.7,3.3,0.7,1,0
2020002,202,33,33,29,36.3,29.7,3.3,0.7,1,0
2020003,202,33,33.3,29.6,36.3,29.7,3,0.1,1,0
2020004,202,33,34,28,36.3,29.7,2.3,1.7,1,0
2020005,202,11,11,10.4,12.1,9.9,1.1,-0.5,1,1
2020006,202,33,34,30,36.3,29.7,2.3,-0.3,1,1
2020007,202,33,33,32,36.3,29.7,3.3,-2.3,1,1
2020008,202,11,11.2,10.8,12.1,9.9,0.9,-0.9,1,1
2020009,202,33,33,30,36.3,29.7,3.3,29.7,1,0
2020011,202,11,11,9.8,12.1,9.9,1.1,0.1,1,0
2020012,202,33,33,30,36.3,29.7,3.3,29.7,1,0
2020013,202,11,11.02,10.2,12.1,9.9,1.08,-0.3,1,1
2020014,202,11,11,10.2,12.1,9.9,1.1,-0.3,1,1
2020015,202,11,11,10,12.1,9.9,1.1,-0.1,1,1
2020016,202,11,11,9.8,12.1,9.9,1.1,0.1,1,0
2020017,202,11,11,9.3,12.1,9.9,1.1,0.6,1,0
2020018,202,33,33,29,36.3,29.7,3.3,0.7,1,0
2020019,202,11,11,10,12.1,9.9,1.1,-0.1,1,1
2020020,202,11,11.2,9.4,12.1,9.9,0.9,0.5,1,0
2020021,202,33,33,29,36.3,29.7,3.3,0.7,1,0
2020022,202,11,11,9,12.1,9.9,1.1,0.9,1,0
2020023,202,33,33.6,28.2,36.3,29.7,2.7,1.5,1,0
2020024,202,11,11,9.8,12.1,9.9,1.1,0.1,1,0
2020025,202,11,11.2,8.8,12.1,9.9,0.9,1.1,1,0
2020026,202,33,33,29,36.3,29.7,3.3,0.7,1,0
2020027,202,11,11,9.2,12.1,9.9,1.1,0.7,1,0
2020028,202,33,33,29,36.3,29.7,3.3,0.7,1,0
2020029,202,11,10.6,9.4,12.1,9.9,1.5,0.5,1,0
2030001,203,33,33,32,36.3,29.7,3.3,-2.3,1,1
2030002,203,11,11,10.2,12.1,9.9,1.1,-0.3,1,1
2030003,203,11,11,10.4,12.1,9.9,1.1,-0.5,1,1
2030004,203,33,33,31,36.3,29.7,3.3,-1.3,1,1
2030005,203,11,11,9.3,12.1,9.9,1.1,0.6,1,0
2030006,203,11,11,9.05,12.1,9.9,1.1,1.95,1,1
2030007,203,11,11.2,10.8,12.1,9.9,0.9,-0.9,1,1
2030008,203,11,11,10.8,12.1,9.9,1.1,-0.9,1,1
2030009,203,33,33.2,31,36.3,29.7,3.1,-1.3,1,1
2030010,203,11,11,10.8,12.1,9.9,1.1,-0.9,1,1
2030011,203,11,11,10.5,12.1,9.9,1.1,-0.6,1,1
2030012,203,11,11.2,11,12.1,9.9,0.9,-1.1,1,1
2030013,203,11,11.6,10.6,12.1,9.9,0.5,-0.7,1,1
2030015,203,11,10.8,10.6,12.1,9.9,1.3,-0.7,1,1
2030016,203,33,33,28.4,36.3,29.7,3.3,1.3,1,0
2030017,203,33,34.5,31,36.3,29.7,1.8,-1.3,1,1
2030018,203,11,11.4,10.8,12.1,9.9,0.7,-0.9,1,1
2030019,203,11,11.2,10.7,12.1,9.9,0.9,-0.8,1,1
2030020,203,11,11.5,10.2,12.1,9.9,0.6,-0.3,1,1
2030021,203,33,33,32.5,36.3,29.7,3.3,-2.8,1,1
2030022,203,110,112,110,121,99,9,-11,1,1
2030023,203,33,33.6,32.7,36.3,29.7,2.7,-3,1,1
2030024,203,11,11.05,10.9,12.1,9.9,1.05,-1,1,1
2040001,204,11,11,10.2,12.1,9.9,1.1,-0.3,1,1
2040002,204,33,33,32,36.3,29.7,3.3,-2.3,1,1
2040003,204,33,33,30,36.3,29.7,3.3,-0.3,1,1
2040004,204,11,11,10.4,12.1,9.9,1.1,-0.5,1,1
2040005,204,33,33,30,36.3,29.7,3.3,-0.3,1,1
2040006,204,33,34.5,30.5,36.3,29.7,1.8,-0.8,1,1
2040007,204,33,29,29,36.3,29.7,7.3,0.7,1,0
2040008,204,11,11.2,10.4,12.1,9.9,0.9,-0.5,1,1
2040009,204,110,112,109,121,99,9,-10,1,1
2040010,204,33,33,33,36.3,29.7,3.3,-3.3,1,1
2040011,204,11,11,10.5,12.1,9.9,1.1,-0.6,1,1
2040012,204,11,11,9.8,12.1,9.9,1.1,0.1,1,0
2040013,204,11,11,10.3,12.1,9.9,1.1,-0.4,1,1
2040014,204,11,11,9,12.1,9.9,1.1,0.9,1,0
2040015,204,11,10.9,9.4,12.1,9.9,1.2,0.5,1,0
2040016,204,110,114,104,121,99,7,-5,1,1
2040017,204,33,33,31,36.3,29.7,3.3,-1.3,1,1
2040018,204,33,32.5,29,36.3,29.7,3.8,0.7,1,0
2040019,204,11,12.2,10.4,12.1,9.9,-0.1,-0.5,0,1
2040020,204,11,11,10.6,12.1,9.9,1.1,-0.7,1,1
2050001,205,11,11,10.6,12.1,9.9,1.1,-0.7,1,1
2050002,205,33,33,31,36.3,29.7,3.3,-1.3,1,1
2050003,205,11,11.2,10.8,12.1,9.9,0.9,-0.9,1,1
2050004,205,11,11.1,10.8,12.1,9.9,1,-0.9,1,1
2050005,205,11,11.4,9.2,12.1,9.9,0.7,0.7,1,0
2050006,205,33,33,31.5,36.3,29.7,3.3,-1.8,1,1
2050007,205,11,11,10.3,12.1,9.9,1.1,-0.4,1,1
2050008,205,11,11,10,12.1,9.9,1.1,-0.1,1,1
2050009,205,11,11,10.5,12.1,9.9,1.1,-0.6,1,1
2050010,205,33,33,31,36.3,29.7,36.3,29.7,1,0
2050011,205,11,11,10.8,12.1,9.9,1.1,-0.9,1,1
2050012,205,11,11,10.6,12.1,9.9,1.1,-0.7,1,1
2050013,205,11,11,10.2,12.1,9.9,1.1,-0.3,1,1
2050014,205,33,34,30,36.3,29.7,2.3,-0.3,1,1
2050015,205,11,11.2,10.6,12.1,9.9,0.9,-0.7,1,1
2050016,205,11,11.4,11,12.1,9.9,0.7,-1.1,1,1
2050017,205,11,11,10.8,12.1,9.9,1.1,-0.9,1,1
3010001,301,22,22.8,20,24.2,19.8,1.4,-0.2,1,1
3010002,301,22,22.2,21.9,24.2,19.8,2,-2.1,1,1
3010003,301,33,35,32,36.3,29.7,1.3,-2.3,1,1
3010004,301,11,11.4,10.6,12.1,9.9,0.7,-0.7,1,1
3010005,301,11,11.8,10.5,12.1,9.9,0.3,-0.6,1,1
3010006,301,11,11.5,10.3,12.1,9.9,0.6,-0.4,1,1
3010007,301,11,12.4,10,12.1,9.9,-0.3,-0.1,0,1
3010008,301,22,24.2,20,24.2,19.8,0,-0.2,0,1
3010010,301,11,11.2,10.2,12.1,9.9,0.9,-0.3,1,1
3010011,301,22,23,20,24.2,19.8,1.2,-0.2,1,1
3010012,301,22,23,20,24.2,19.8,1.2,-0.2,1,1
3010013,301,22,22.6,21.2,24.2,19.8,1.6,-1.4,1,1
3010014,301,22,23,20,24.2,19.8,1.2,-0.2,1,1
3010015,301,11,11.2,10.8,12.1,9.9,0.9,-0.9,1,1
3010016,301,22,22.2,19.9,24.2,19.8,2,-0.1,1,1
3010017,301,11,11.7,10.4,12.1,9.9,0.4,-0.5,1,1
3010018,301,11,11.6,10.4,12.1,9.9,0.5,-0.5,1,1
3010020,301,22,23.5,19.5,24.2,19.8,0.7,0.3,1,0
3010021,301,22,24.5,20.2,24.2,19.8,-0.3,-0.4,0,1
3010022,301,22,23.2,21.2,24.2,19.8,1,-1.4,1,1
3030001,303,11,11,11,12.1,9.9,1.1,-1.1,1,1
3030002,303,11,11.2,11,12.1,9.9,0.9,-1.1,1,1
3030003,303,11,11.3,10.8,12.1,9.9,0.8,-0.9,1,1
3030004,303,11,11,11,12.1,9.9,1.1,-1.1,1,1
3050001,305,22,24,20.8,24.2,19.8,0.2,-1,1,1
3050002,305,11,11.5,10.7,12.1,9.9,0.6,-0.8,1,1
3050003,305,11,11.2,10.4,12.1,9.9,0.9,-0.5,1,1
3050004,305,11,11.2,10.1,12.1,9.9,0.9,-0.2,1,1
3050005,305,11,11.2,10.1,12.1,9.9,0.9,-0.2,1,1
3050006,305,11,11.2,10.2,12.1,9.9,0.9,-0.3,1,1
3050007,305,11,11.4,10.2,12.1,9.9,0.7,-0.3,1,1
3050008,305,22,22.3,21,24.2,19.8,1.9,-1.2,1,1
3050009,305,22,22.4,21,24.2,19.8,1.8,-1.2,1,1
3050010,305,11,12.5,10.4,12.1,9.9,-0.4,-0.5,0,1
3050011,305,11,11.2,10.2,12.1,9.9,0.9,-0.3,1,1
3050012,305,11,11.2,10,12.1,9.9,0.9,-0.1,1,1
3060001,306,22,22.5,20.5,24.2,19.8,1.7,-0.7,1,1
3060002,306,22,22.5,21,24.2,19.8,1.7,-1.2,1,1
3060003,306,22,23,20,24.2,19.8,1.2,-0.2,1,1
3060004,306,22,23,21.5,24.2,19.8,1.2,-1.7,1,1
3060005,306,22,23,20.4,24.2,19.8,1.2,-0.6,1,1
3060006,306,22,22.8,21.6,24.2,19.8,1.4,-1.8,1,1
3060007,306,22,22.5,22,24.2,19.8,1.7,-2.2,1,1
3060008,306,22,22.5,22,24.2,19.8,1.7,-2.2,1,1
4020001,402,11,11.4,11,12.1,9.9,0.7,-1.1,1,1
4020002,402,22,22,21.5,24.2,19.8,2.2,-1.7,1,1
4020003,402,22,23.6,22,24.2,19.8,0.6,-2.2,1,1
4020004,402,11,11.2,11,12.1,9.9,0.9,-1.1,1,1
4020006,402,22,23.5,21,24.2,19.8,0.7,-1.2,1,1
4020007,402,22,22,21.5,24.2,19.8,2.2,-1.7,1,1
4020008,402,22,21.6,21.2,24.2,19.8,2.6,-1.4,1,1
4020009,402,22,22,21.5,24.2,19.8,2.2,-1.7,1,1
4020010,402,22,23,21,24.2,19.8,1.2,-1.2,1,1
4020011,402,22,22,21.8,24.2,19.8,2.2,-2,1,1
4020012,402,22,23.5,20.1,24.2,19.8,0.7,-0.3,1,1
4020013,402,22,23.8,20,24.2,19.8,0.4,-0.2,1,1
4020014,402,22,23,22,24.2,19.8,1.2,-2.2,1,1
4020015,402,22,23,18.5,24.2,19.8,1.2,1.3,1,0
4020016,402,22,22,21.8,24.2,19.8,2.2,-2,1,1
4020017,402,11,11.3,11,12.1,9.9,0.8,-1.1,1,1
4020018,402,11,11.8,10.6,12.1,9.9,0.3,-0.7,1,1
4020019,402,11,11.5,10.3,12.1,9.9,0.6,-0.4,1,1
4020020,402,22,23,20.5,24.2,19.8,1.2,-0.7,1,1
4020021,402,22,22,19.6,24.2,19.8,2.2,0.2,1,0
5010001,501,22,22.5,21,24.2,19.8,1.7,-1.2,1,1
5010002,501,22,23.8,20.8,24.2,19.8,0.4,-1,1,1
5010003,501,33,35.4,31.8,36.3,29.7,0.9,-2.1,1,1
5010004,501,11,11.1,10.8,12.1,9.9,1,-0.9,1,1
5010005,501,11,11.8,9.4,12.1,9.9,0.3,0.5,1,0
5010006,501,11,11.6,10.6,12.1,9.9,0.5,-0.7,1,1
5010007,501,110,116,94,121,99,5,5,1,0
5010008,501,22,116,107.5,24.2,19.8,-91.8,-87.7,0,1
5010009,501,11,11.6,10.5,12.1,9.9,0.5,-0.6,1,1
5010010,501,11,12.5,10.4,12.1,9.9,-0.4,-0.5,0,1
5010011,501,11,12.4,9.2,12.1,9.9,-0.3,0.7,0,0
5010012,501,11,11.2,10.8,12.1,9.9,0.9,-0.9,1,1
5010013,501,11,11.6,10,12.1,9.9,0.5,-0.1,1,1
5010014,501,11,11.8,10.6,12.1,9.9,0.3,-0.7,1,1
5010015,501,11,11.7,8.7,12.1,9.9,0.4,1.2,1,0
5010016,501,11,12,11,12.1,9.9,0.1,-1.1,1,1
5010017,501,11,11.4,10.3,12.1,9.9,0.7,-0.4,1,1
5010018,501,11,11.8,10,12.1,9.9,0.3,-0.1,1,1
5020001,502,11,12,10.8,12.1,9.9,0.1,-0.9,1,1
5020002,502,110,110,100,121,99,121,99,1,0
5020003,502,11,11.4,10.6,12.1,9.9,0.7,-0.7,1,1
5020004,502,33,33,31,36.3,29.7,36.3,29.7,1,0
5020005,502,33,33,31,36.3,29.7,36.3,29.7,1,0
5020006,502,11,11.6,10.6,12.1,9.9,0.5,-0.7,1,1
5020007,502,33,33,31,36.3,29.7,36.3,29.7,1,0
5020008,502,110,110,100,121,99,120.01,98.15,1,0
5020009,502,11,11.5,10.7,12.1,9.9,0.6,-0.8,1,1
5020010,502,11,11,10.6,12.1,9.9,1.1,-0.7,1,1
5020011,502,33,33,31,36.3,29.7,36.3,29.7,1,0
5020012,502,33,33,31,36.3,29.7,36.3,29.7,1,0
5020013,502,33,35.7,32.1,36.3,29.7,0.6,-2.4,1,1
5020014,502,11,11.5,10.6,12.1,9.9,0.6,-0.7,1,1
5020015,502,11,11.8,10.9,12.1,9.9,0.3,-1,1,1
5020016,502,11,11.6,10.5,12.1,9.9,0.5,-0.6,1,1
5020017,502,11,11.8,10.6,12.1,9.9,0.3,-0.7,1,1
5020018,502,33,34,32,36.3,29.7,-2.3,-2.3,1,1
5020019,502,110,110,100,121,99,120.01,98.15,1,0
5020020,502,11,11.9,10.7,12.1,9.9,0.2,-0.8,1,1
5020021,502,11,12.2,10.8,12.1,9.9,-0.1,-0.9,0,1
5020022,502,110,110,100,121,99,120.01,98.08,1,0
5020023,502,11,11.8,10.6,12.1,9.9,0.3,-0.7,1,1
5020024,502,110,110,100,121,99,120.01,98.15,1,0
5020025,502,66,10,10.09,72.6,59.4,62.6,49.31,1,0
5020026,502,110,110,100,121,99,120.01,98.15,1,0
5020027,502,11,12,10.2,12.1,9.9,0.1,-0.3,1,1
5020028,502,33,33,31,36.3,29.7,35.31,28.76,1,0
5020029,502,11,11.5,10.6,12.1,9.9,0.6,-0.7,1,1
6010001,601,11,12.32,10,12.1,9.9,-0.22,9.9,0,0
6010002,601,11,12.2,10,12.1,9.9,-0.1,-0.1,0,1
6010003,601,11,11.7,9.5,12.1,9.9,0.4,0.4,1,0
6010004,601,11,12,11.2,12.1,9.9,0.1,-1.3,1,1
6010005,601,11,12,9,12.1,9.9,0.1,0.9,1,0
6010006,601,11,11.8,9.2,12.1,9.9,0.3,0.7,1,0
6010007,601,11,11.6,10.8,12.1,9.9,0.5,-0.9,1,1
6010008,601,11,11,9.2,12.1,9.9,1.1,0.7,1,0
6010009,601,11,12,8.6,12.1,9.9,0.1,1.3,1,0
6010010,601,11,11.5,9.4,12.1,9.9,0.6,0.5,1,0
6010011,601,11,11.5,10.5,12.1,9.9,0.6,-0.6,1,1
6010012,601,11,12.5,10.2,12.1,9.9,-0.4,-0.3,0,1
6010013,601,11,11.5,11,12.1,9.9,0.6,-1.1,1,1
6010014,601,11,11.4,10.4,12.1,9.9,0.7,-0.5,1,1
6020001,602,11,11.4,10.6,12.1,9.9,0.7,-0.7,1,1
6020002,602,11,11.2,10.8,12.1,9.9,0.9,-0.9,1,1
6020004,602,33,11.8,10.2,36.3,29.7,24.5,19.5,1,0
6020005,602,33,11.3,11,36.3,29.7,25,18.7,1,0
6020006,602,11,12,10,12.1,9.9,0.1,-0.1,1,1
6020007,602,11,11.5,10.5,12.1,9.9,0.6,-0.6,1,1
6020008,602,11,12.1,10,12.1,9.9,0,-0.1,0,1
6020009,602,11,11,9.68,12.1,9.9,1.1,0.22,1,0
6020010,602,11,11.2,10.5,12.1,9.9,0.9,-0.6,1,1
6020011,602,11,11.2,9.68,12.1,9.9,0.9,0.22,1,0
6020012,602,110,11.5,9.6,121,99,109.5,89.4,1,0
6020013,602,11,11.3,10.4,12.1,9.9,0.8,-0.5,1,1
6020014,602,11,11.8,10.6,12.1,9.9,0.3,-0.7,1,1
6020015,602,11,11.7,10.8,12.1,9.9,0.4,-0.9,1,1
6020016,602,11,12,10.8,12.1,9.9,0.1,-0.9,1,1
6020017,602,11,11.4,9.8,12.1,9.9,0.7,0.1,1,0
6020018,602,11,11.2,10.2,12.1,9.9,0.9,-0.3,1,1
6020019,602,11,11.7,10.4,12.1,9.9,0.4,-0.5,1,1
6020020,602,11,11.5,10.1,12.1,9.9,0.6,-0.2,1,1
6020021,602,33,12,10,36.3,29.7,24.3,19.7,1,0
6020022,602,11,11.8,10.6,12.1,9.9,0.3,-0.7,1,1
6040001,604,110,115,90,121,99,6,9,1,0
6040002,604,11,11.6,9.2,12.1,9.9,0.5,0.7,1,0
6040003,604,11,11,8.5,12.1,9.9,1.1,1.4,1,0
6040004,604,11,11.4,9.6,12.1,9.9,0.7,0.3,1,0
6040005,604,11,11.5,8,12.1,9.9,0.6,1.9,1,0
6040006,604,110,110,94,121,99,11,5,1,0
6040007,604,11,12.4,10,12.1,9.9,-0.3,9.9,0,0
6040008,604,11,12,8,12.1,9.9,0.1,1.9,1,0
6040009,604,11,11.2,9.4,12.1,9.9,0.9,0.5,1,0
6040010,604,11,12,9.2,12.1,9.9,0.1,0.7,1,0
6040011,604,11,11,10.3,12.1,9.9,1.1,-0.4,1,1
6040012,604,11,11.2,8,12.1,9.9,0.9,1.9,1,0
6050002,605,11,11.6,10,12.1,9.9,0.5,-0.1,1,1
6050003,605,110,110,100,121,99,121,99,1,0
6050004,605,110,110,100,121,99,121,99,1,0
6050005,605,33,33,31,36.3,29.7,36.3,29.7,1,0
6050006,605,11,11.8,8.9,12.1,9.9,0.3,1,1,0
6050007,605,11,13,9,12.1,9.9,-0.9,0.9,0,0
6050008,605,11,11.5,10.5,12.1,9.9,0.6,-0.6,1,1
6050009,605,11,11.8,10.8,12.1,9.9,0.3,-0.9,1,1
6050011,605,110,110,100,121,99,121,99,1,0
6050012,605,33,33,31,36.3,29.7,36.3,29.7,1,0
6050013,605,22,22.8,21.5,24.2,19.8,1.4,-1.7,1,1
6050014,605,110,110,100,121,99,121,99,1,0
6050015,605,33,33,31,36.3,29.7,36.3,29.7,1,0
6050016,605,110,110,100,121,99,121,99,1,0
6050017,605,11,11.8,9.9,12.1,9.9,0.3,0,1,0
6050018,605,11,12,10.5,12.1,9.9,0.1,-0.6,1,1
6050019,605,33,38,30,36.3,29.7,-1.7,-0.3,0,1
6050020,605,11,12.2,9.4,12.1,9.9,-0.1,0.5,0,0
6050021,605,33,33,31,36.3,29.7,36.3,29.7,1,0
6050022,605,22,25,22,24.2,19.8,-0.8,-2.2,0,1
6050023,605,22,22.5,21,24.2,19.8,1.7,-1.2,1,1
6060001,606,11,11,11,12.1,9.9,1.1,-1.1,1,1
6060002,606,110,107,100,121,99,14,-1,1,1
6060003,606,11,11.5,10.2,12.1,9.9,0.6,-0.3,1,1
6060004,606,110,112,106,121,99,9,-7,1,1
6060005,606,11,11,11,12.1,9.9,1.1,-1.1,1,1
6060006,606,11,11.9,9.6,12.1,9.9,0.2,0.3,1,0
6060007,606,110,110,100,121,99,11,-1,1,1
6060008,606,11,11,10.4,12.1,9.9,1.1,-0.5,1,1
6060009,606,11,12.4,9.8,12.1,9.9,-0.3,0.1,0,0
6060010,606,11,12,10.2,12.1,9.9,0.1,-0.3,1,1
6060011,606,11,11,10,12.1,9.9,12.1,9.9,1,0
6060012,606,11,11.2,9.6,12.1,9.9,0.9,0.3,1,0
6060013,606,11,12,9.8,12.1,9.9,0.1,0.1,1,0
