,Unnamed: 0,source,source_desc,source_id,target,target_desc,target_id,weight
1,2,DISC1,ENSP00000355596,27185,lymphoid leukemia,DOID:10747,-666.0,1
2,3,ZNF221,ENSP00000262894,7638,lymphoid leukemia,DOID:10747,-666.0,1
3,4,MAGI2,ENSP00000346151,9863,lymphoid leukemia,DOID:10747,-666.0,1
4,5,PARD3,ENSP00000363921,56288,lymphoid leukemia,DOID:10747,-666.0,1
5,6,IKZF1,ENSP00000331614,10320,lymphoid leukemia,DOID:10747,-666.0,1
6,7,SP140,ENSP00000375899,11262,lymphoid leukemia,DOID:10747,-666.0,1
7,8,PPARGC1A,ENSP00000264867,10891,lymphoid leukemia,DOID:10747,-666.0,1
8,9,PTPRJ,ENSP00000400010,5795,lymphoid leukemia,DOID:10747,-666.0,1
9,10,RPLP1,ENSP00000346037,6176,lymphoid leukemia,DOID:10747,-666.0,1
10,11,ARID5B,ENSP00000279873,84159,lymphoid leukemia,DOID:10747,-666.0,1
11,12,KCNMB2,ENSP00000351068,10242,lymphoid leukemia,DOID:10747,-666.0,1
12,13,HLA-DRB1,ENSP00000382599,3123,lymphoid leukemia,DOID:10747,-666.0,1
13,14,HLA-DQA1,ENSP00000409127,3117,lymphoid leukemia,DOID:10747,-666.0,1
14,15,TP63,ENSP00000264731,8626,lymphoid leukemia,DOID:10747,-666.0,1
15,16,ACOXL,ENSP00000407761,55289,lymphoid leukemia,DOID:10747,-666.0,1
16,17,BAK1,ENSP00000363591,578,lymphoid leukemia,DOID:10747,-666.0,1
17,18,FARP2,ENSP00000264042,9855,lymphoid leukemia,DOID:10747,-666.0,1
18,19,BRMS1L,ENSP00000216807,84312,lymphoid leukemia,DOID:10747,-666.0,1
19,20,C12ORF5,ENSP00000179259,57103,lymphoid leukemia,DOID:10747,-666.0,1
20,21,CDKN2A,ENSP00000355153,1029,lymphoid leukemia,DOID:10747,-666.0,1
21,22,CEBPE,ENSP00000206513,1053,lymphoid leukemia,DOID:10747,-666.0,1
22,23,CENPF,ENSP00000355922,1063,lymphoid leukemia,DOID:10747,-666.0,1
23,24,CFHR2,ENSP00000356385,3080,lymphoid leukemia,DOID:10747,-666.0,1
24,25,CPEB1,ENSP00000414187,64506,lymphoid leukemia,DOID:10747,-666.0,1
25,26,CYLC2,ENSP00000340826,1539,lymphoid leukemia,DOID:10747,-666.0,1
26,27,FKRP,ENSP00000326570,79147,lymphoid leukemia,DOID:10747,-666.0,1
27,28,GCSAML,ENSP00000355444,148823,lymphoid leukemia,DOID:10747,-666.0,1
28,29,INTS10,ENSP00000381064,55174,lymphoid leukemia,DOID:10747,-666.0,1
29,30,IRF8,ENSP00000268638,3394,lymphoid leukemia,DOID:10747,-666.0,1
30,31,MAP1LC3B2,ENSP00000305059,643246,lymphoid leukemia,DOID:10747,-666.0,1
31,32,METTL4,ENSP00000320349,64863,lymphoid leukemia,DOID:10747,-666.0,1
32,33,MMADHC,ENSP00000301920,27249,lymphoid leukemia,DOID:10747,-666.0,1
33,34,MYRIP,ENSP00000301972,25924,lymphoid leukemia,DOID:10747,-666.0,1
34,35,NPFFR1,ENSP00000277942,64106,lymphoid leukemia,DOID:10747,-666.0,1
35,36,OR5R1,ENSP00000308595,219479,lymphoid leukemia,DOID:10747,-666.0,1
36,37,PPP2R5E,ENSP00000337641,5529,lymphoid leukemia,DOID:10747,-666.0,1
37,38,PPP4R4,ENSP00000305924,57718,lymphoid leukemia,DOID:10747,-666.0,1
38,39,PYGL,ENSP00000216392,5836,lymphoid leukemia,DOID:10747,-666.0,1
39,40,SKA1,ENSP00000285116,220134,lymphoid leukemia,DOID:10747,-666.0,1
40,41,TBXAS1,ENSP00000263552,6916,lymphoid leukemia,DOID:10747,-666.0,1
41,42,ST6GALNAC3,ENSP00000329214,256435,lymphoid leukemia,DOID:10747,-666.0,1
42,43,KCNE4,ENSP00000281830,23704,lymphoid leukemia,DOID:10747,-666.0,1
43,44,DDC,ENSP00000350616,1644,lymphoid leukemia,DOID:10747,-666.0,1
44,45,DKK1,ENSP00000363081,22943,lymphoid leukemia,DOID:10747,-666.0,1
45,46,RYR2,ENSP00000355533,6262,lymphoid leukemia,DOID:10747,-666.0,1
46,47,IRF4,ENSP00000370343,3662,lymphoid leukemia,DOID:10747,-666.0,1
47,48,PRKD2,ENSP00000291281,25865,lymphoid leukemia,DOID:10747,-666.0,1
48,49,PDE4B,ENSP00000332116,5142,lymphoid leukemia,DOID:10747,-666.0,1
49,50,SLCO3A1,ENSP00000320634,28232,lymphoid leukemia,DOID:10747,-666.0,1
50,51,MTAP,ENSP00000369519,4507,lymphoid leukemia,DOID:10747,-666.0,1
51,52,RIT2,ENSP00000321805,6014,lymphoblastic leukemia,DOID:1037,-666.0,1
52,53,DISC1,ENSP00000355596,27185,lymphoblastic leukemia,DOID:1037,-666.0,1
53,54,ZNF221,ENSP00000262894,7638,lymphoblastic leukemia,DOID:1037,-666.0,1
54,55,MAGI2,ENSP00000346151,9863,lymphoblastic leukemia,DOID:1037,-666.0,1
55,56,PARD3,ENSP00000363921,56288,lymphoblastic leukemia,DOID:1037,-666.0,1
56,57,IKZF1,ENSP00000331614,10320,lymphoblastic leukemia,DOID:1037,-666.0,1
57,58,SP140,ENSP00000375899,11262,lymphoblastic leukemia,DOID:1037,-666.0,1
58,59,PPARGC1A,ENSP00000264867,10891,lymphoblastic leukemia,DOID:1037,-666.0,1
59,60,PTPRJ,ENSP00000400010,5795,lymphoblastic leukemia,DOID:1037,-666.0,1
60,61,RPLP1,ENSP00000346037,6176,lymphoblastic leukemia,DOID:1037,-666.0,1
61,62,ARID5B,ENSP00000279873,84159,lymphoblastic leukemia,DOID:1037,-666.0,1
62,63,KCNMB2,ENSP00000351068,10242,lymphoblastic leukemia,DOID:1037,-666.0,1
63,64,HLA-DRB1,ENSP00000382599,3123,lymphoblastic leukemia,DOID:1037,-666.0,1
64,65,HLA-DQA1,ENSP00000409127,3117,lymphoblastic leukemia,DOID:1037,-666.0,1
65,66,TP63,ENSP00000264731,8626,lymphoblastic leukemia,DOID:1037,-666.0,1
66,67,ACOXL,ENSP00000407761,55289,lymphoblastic leukemia,DOID:1037,-666.0,1
67,68,BAK1,ENSP00000363591,578,lymphoblastic leukemia,DOID:1037,-666.0,1
68,69,FARP2,ENSP00000264042,9855,lymphoblastic leukemia,DOID:1037,-666.0,1
